iter	Passed	Remaining
0	169	169758
1	171	85479
2	172	57373
3	173	43286
4	175	34841
5	175	29125
6	176	25065
7	178	22146
8	179	19807
9	181	17937
10	182	16406
11	183	15129
12	185	14050
13	186	13119
14	187	12311
15	188	11608
16	189	10984
17	191	10435
18	191	9910
19	193	9484
20	194	9089
21	196	8726
22	197	8393
23	198	8084
24	200	7803
25	201	7539
26	202	7298
27	203	7073
28	205	6866
29	206	6671
30	207	6488
31	209	6336
32	211	6189
33	212	6037
34	213	5878
35	214	5745
36	215	5617
37	217	5497
38	218	5379
39	219	5270
40	220	5164
41	222	5065
42	223	4970
43	224	4882
44	226	4809
45	227	4727
46	229	4646
47	230	4571
48	231	4487
49	232	4417
50	233	4349
51	235	4284
52	236	4221
53	237	4153
54	238	4095
55	240	4048
56	241	4001
57	243	3950
58	244	3900
59	245	3851
60	247	3803
61	248	3758
62	249	3713
63	250	3668
64	251	3624
65	253	3584
66	254	3547
67	256	3510
68	257	3469
69	258	3435
70	259	3399
71	261	3365
72	262	3330
73	262	3287
74	263	3254
75	265	3223
76	266	3191
77	267	3161
78	268	3133
79	269	3102
80	271	3076
81	272	3050
82	273	3024
83	275	2999
84	276	2974
85	277	2944
86	278	2920
87	279	2896
88	280	2872
89	281	2850
90	283	2827
91	284	2807
92	285	2787
93	287	2766
94	288	2746
95	289	2727
96	290	2708
97	292	2688
98	293	2669
99	294	2650
100	295	2631
101	296	2614
102	298	2596
103	299	2578
104	300	2563
105	301	2546
106	303	2529
107	304	2513
108	305	2496
109	306	2483
110	308	2467
111	309	2452
112	310	2437
113	311	2422
114	312	2407
115	313	2392
116	315	2378
117	317	2370
118	318	2355
119	319	2342
120	320	2329
121	321	2316
122	323	2304
123	324	2291
124	325	2279
125	326	2268
126	328	2255
127	329	2243
128	330	2231
129	331	2221
130	332	2206
131	333	2195
132	334	2183
133	336	2172
134	337	2161
135	338	2152
136	340	2142
137	341	2131
138	342	2121
139	343	2110
140	344	2099
141	345	2090
142	347	2081
143	348	2072
144	349	2062
145	350	2052
146	352	2043
147	353	2033
148	354	2025
149	356	2017
150	357	2008
151	358	1997
152	359	1988
153	360	1980
154	361	1971
155	363	1965
156	364	1956
157	365	1948
158	366	1939
159	367	1931
160	369	1923
161	370	1915
162	371	1908
163	372	1900
164	373	1892
165	375	1884
166	376	1876
167	377	1869
168	378	1862
169	379	1855
170	381	1847
171	382	1840
172	383	1833
173	384	1826
174	385	1818
175	387	1813
176	388	1805
177	389	1798
178	390	1792
179	391	1785
180	393	1778
181	394	1772
182	395	1766
183	396	1759
184	397	1753
185	399	1746
186	400	1740
187	401	1733
188	402	1727
189	403	1721
190	405	1715
191	406	1709
192	407	1703
193	408	1697
194	410	1692
195	411	1686
196	412	1680
197	413	1674
198	414	1669
199	415	1663
200	417	1657
201	418	1652
202	419	1647
203	420	1642
204	422	1636
205	423	1631
206	424	1626
207	425	1621
208	426	1615
209	428	1610
210	429	1605
211	430	1600
212	431	1594
213	432	1589
214	433	1584
215	435	1579
216	436	1575
217	437	1569
218	439	1565
219	440	1560
220	441	1556
221	442	1551
222	443	1546
223	444	1541
224	446	1536
225	447	1531
226	448	1526
227	449	1522
228	450	1517
229	452	1513
230	453	1508
231	454	1505
232	455	1500
233	457	1495
234	458	1491
235	459	1487
236	460	1482
237	461	1478
238	462	1473
239	463	1469
240	465	1464
241	466	1460
242	467	1456
243	468	1452
244	470	1448
245	471	1444
246	472	1440
247	473	1436
248	474	1432
249	476	1428
250	477	1423
251	478	1419
252	479	1415
253	480	1411
254	482	1408
255	483	1404
256	484	1401
257	486	1398
258	487	1393
259	488	1390
260	489	1386
261	490	1382
262	491	1378
263	492	1374
264	494	1370
265	495	1366
266	496	1362
267	497	1359
268	498	1355
269	500	1352
270	501	1349
271	502	1346
272	504	1342
273	505	1338
274	506	1334
275	507	1331
276	508	1327
277	509	1324
278	510	1320
279	512	1316
280	513	1313
281	514	1310
282	515	1307
283	517	1304
284	518	1301
285	519	1297
286	521	1294
287	522	1291
288	523	1287
289	524	1284
290	525	1281
291	526	1277
292	528	1274
293	529	1271
294	530	1268
295	532	1266
296	534	1264
297	535	1261
298	536	1258
299	538	1255
300	539	1252
301	540	1249
302	541	1246
303	542	1242
304	544	1239
305	545	1236
306	546	1233
307	547	1230
308	549	1228
309	550	1225
310	551	1222
311	552	1219
312	553	1215
313	555	1212
314	556	1209
315	557	1206
316	558	1203
317	559	1200
318	561	1197
319	562	1195
320	563	1192
321	564	1189
322	566	1186
323	567	1183
324	568	1180
325	569	1177
326	570	1174
327	571	1171
328	573	1168
329	574	1166
330	575	1163
331	576	1160
332	578	1158
333	579	1155
334	580	1152
335	581	1149
336	582	1146
337	584	1143
338	585	1140
339	586	1138
340	587	1135
341	588	1132
342	589	1129
343	591	1127
344	592	1124
345	593	1122
346	594	1119
347	595	1116
348	597	1114
349	598	1111
350	599	1108
351	600	1106
352	602	1103
353	603	1100
354	604	1098
355	605	1095
356	606	1093
357	608	1090
358	609	1087
359	610	1085
360	611	1082
361	612	1080
362	614	1077
363	615	1074
364	616	1071
365	617	1069
366	618	1066
367	619	1064
368	620	1061
369	622	1059
370	623	1057
371	624	1054
372	625	1052
373	627	1049
374	628	1047
